PDB-ID  Pfam-ID Nseq    Length  Description
1IHZA   PF00565 2131    136     Staphylococcal nuclease homologue
1KTGA   PF00293 20076   137     NUDIX domain
1QJPA   PF01389 1401    137     OmpA-like transmembrane domain
1GZ2A   PF00059 4876    138     Lectin C-type domain
1EJ8A   PF00080 2031    140     Copper/zinc superoxide dismutase (SODC)
1KQ6A   PF00787 2818    140     PX domain
1LO7A   PF03061 5499    140     Thioesterase superfamily
1TZVA   PF01029 3542    141     NusB family
1K6KA   PF02861 7835    142     Clp amino terminal domain
1I5GA   PF00578 9016    144     AhpC/TSA family
1A3AA   PF00359 6603    145     Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
1NB9A   PF01687 2127    147     Riboflavin kinase
3DQGA   PF00012 6859    148     Hsp70 protein
1A6MA   PF00042 3942    151     Globin
1DBXA   PF04073 4242    152     YbaK / prolyl-tRNA synthetases associated domain
1JL1A   PF00075 11782   152     RNase H
1JYHA   PF06445 2866    155     Bacterial transcription activator, effector binding domain
1BEBA   PF00061 1031    156     Lipocalin / cytosolic fatty-acid binding protein family
1HFCA   PF00413 1421    157     Matrixin
1HTWA   PF02367 1941    158     Uncharacterised P-loop hydrolase UPF0079
1D1QA   PF01451 3717    159     Low molecular weight phosphotyrosine protein phosphatase
1JVWA   PF00254 7529    160     FKBP-type peptidyl-prolyl cis-trans isomerase
1KQRA   PF00426 2015    160     Outer Capsid protein VP4 (Hemagglutinin)
2ARCA   PF02311 4647    161     AraC-like ligand binding domain
1LPYA   PF00959 1203    162     Phage lysozyme
1FL0A   PF01588 4770    164     Putative tRNA binding domain
1MUGA   PF03167 4654    165     Uracil DNA glycosylase superfamily
1CJWA   PF00583 46279   166     Acetyltransferase (GNAT) family
1EK0A   PF00071 10390   168     Ras family
1WKCA   PF01812 2130    168     5-formyltetrahydrofolate cyclo-ligase family
1CZNA   PF00258 4606    169     Flavodoxin
1DMGA   PF00573 2600    172     Ribosomal protein L4/L1 family
1F6BA   PF00025 2689    176     ADP-ribosylation factor family
1JFUA   PF08534 4564    176     Redoxin
1NE2A   PF06325 2284    176     Ribosomal protein L11 methyltransferase (PrmA)
1D4OA   PF02233 1140    177     NAD(P) transhydrogenase beta subunit
1IM5A   PF00857 6033    179     Isochorismatase family
1JWQA   PF01520 3396    179     N-acetylmuramoyl-L-alanine amidase
1EJ0A   PF01728 5670    180     FtsJ-like methyltransferase
1H0PA   PF00160 6282    182     Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
1BEHA   PF01161 2179    184     Phosphatidylethanolamine-binding protein
1GBSA   PF01464 6655    185     Transglycosylase SLT domain
1RYBA   PF01195 2148    186     Peptidyl-tRNA hydrolase
1FVKA   PF01323 4128    188     DSBA-like thioredoxin domain
1I58A   PF02518 70410   189     Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
1JBKA   PF00004 28986   189     ATPase family associated with various cellular activities (AAA)
1LM4A   PF01327 3326    189     Polypeptide deformylase
1AOEA   PF00186 2624    192     Dihydrofolate reductase
1FVGA   PF01625 2971    192     Peptide methionine sulfoxide reductase
1HH8A   PF00515 25785   192     Tetratricopeptide repeat
1VHUA   PF01661 2450    192     Macro domain
1KIDA   PF00118 15731   193     TCP-1/cpn60 chaperonin family
1QF9A   PF00406 5891    194     Adenylate kinase
3BORA   PF00270 10450   194     DEAD/DEAH box helicase
1CHDA   PF01339 1863    198     CheB methylesterase
1ATLA   PF01421 1108    200     Reprolysin (M12B) family zinc metalloprotease
1W0HA   PF00929 7766    200     Exonuclease
1HDOA   PF05368 4891    205     NmrA-like family
1XKRA   PF04509 1408    205     CheC-like family
1K7JA   PF01300 3738    206     yrdC domain
1H2EA   PF00300 10034   207     Histidine phosphatase superfamily (branch 1)
1DIXA   PF00445 2081    208     Ribonuclease T2 family
1JKXA   PF00551 6100    209     Formyl transferase
1HXNA   PF00045 1842    210     Hemopexin
1CKEA   PF02224 1937    212     Cytidylate kinase
1IWDA   PF00112 4303    215     Papain family cysteine protease
1JFXA   PF01183 1640    217     Glycosyl hydrolases family 25
5PTPA   PF00089 13370   222     Trypsin
1I1NA   PF01135 1811    224     Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
1O1ZA   PF03009 4598    226     Glycerophosphoryl diester phosphodiesterase family
2TPSA   PF02581 2620    226     Thiamine monophosphate synthase/TENI
1K7CA   PF00657 6189    233     GDSL-like Lipase/Acylhydrolase
1NY1A   PF01522 6604    235     Polysaccharide deacetylase
1RW7A   PF01965 6848    235     DJ-1/PfpI family
1FCYA   PF00104 3504    236     Ligand-binding domain of nuclear hormone receptor
1XDZA   PF02527 1941    238     rRNA small subunit methyltransferase G
1XFFA   PF00310 7438    238     Glutamine amidotransferases class-II
1GZCA   PF00139 1056    239     Legume lectin domain
1QL0A   PF01223 1190    241     DNA/RNA non-specific endonuclease
1TQHA   PF00326 4375    242     Prolyl oligopeptidase family
2VXNA   PF00121 3355    249     Triosephosphate isomerase
1BSGA   PF00144 4688    266     Beta-lactamase
